Name,Address,City,Type,Submitted Amount,Allowed Amount,Medicare Payment Amount
"ALVAREZ, AIXA L",111 DALLAS ST ,SAN ANTONIO,Physical Medicine and Rehabilitation,217025,120825.16,96500.01
"PALEY, SOLOMON I",434 N LOOP 1604 W SUITE 1204,SAN ANTONIO,Family Practice,177237.38,135778.64,96415.95
"MURPHY, WILLIAM H",102 WICKES ST ,SAN ANTONIO,Clinical Psychologist,263750,166193.77,96356.26
"NILSSON, JOEL B",21 SPURS LANE SUITE 245,SAN ANTONIO,Orthopedic Surgery,516809.63,135070.37,96135.39
"TRAMPOTA, SARAH E",45 N.E. LOOP 410 SUITE 900,SAN ANTONIO,Interventional Pain Management,322154,123433.14,96042.49
"SURAPANENI, VAMSI K",3333 RESEARCH PLAZA ,SAN ANTONIO,Internal Medicine,176775.73,123450.03,96016.03
"SOUZA, SERGIO E",102 PALO ALTO RD SUITE 320,SAN ANTONIO,Interventional Pain Management,343251,123751.98,95997.77
"HERSH, DAREN H",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,375016,121008.43,95963.85
"FREDETTE, STEVEN R",422 N GENERAL MCMULLEN DR SUITE 102,SAN ANTONIO,Podiatry,180158.98,124567.48,95885.07
"HODGES, CHAD B",8300 FLOYD CURL DR ,SAN ANTONIO,Physical Therapist,395858,124878.92,95706.59
"ROWLAND, ALEXANDER S",1200 BROOKLYN AVE 320,SAN ANTONIO,Orthopedic Surgery,492216.56,130473.86,95365.06
"SENSENIG, JEFF",8401 DATAPOINT DR STE 500,SAN ANTONIO,Emergency Medicine,478179.45,123573.41,95340.43
"CHRISTENSEN, HILARY C",15900 LACANTERA PKWY ,SAN ANTONIO,Emergency Medicine,515854,124726.4,94924.38
"ARANIBAR, ROBERTO J",4410 MEDICAL DR STE 610,SAN ANTONIO,Neurosurgery,559510,121887.07,94854.89
"CASE, GEORGE D",12709 TOEPPERWEIN RD #206,LIVE OAK,Urology,312605,124955.09,94835.78
"VANDELDEN, ELLEN S",3603 PAESANOS PKWY SUITE 300,SAN ANTONIO,Neurology,310115,124812.91,94711.23
"SANCHEZ, NINZA",111 CAMARGO ST ,SAN ANTONIO,Internal Medicine,179708,132879.14,94612.15
"FLEMING, DANIEL",4775 HAMILTON WOLFE RD STE 1 ,SAN ANTONIO,Otolaryngology,243147,127255.18,94473.33
"ALLAWALA, YOUSUF J",4242 MEDICAL DR SUITE 6300,SAN ANTONIO,Psychiatry,160550,119512.68,94386.73
"MOSHER, JOSEPH P",7272 WURZBACH RD SUITE 601,SAN ANTONIO,Clinical Psychologist,240400,160467.68,94325.76
"JENNINGS, JAMES G",24165 W IH 10 SUITE 118,SAN ANTONIO,Family Practice,189645,144588.69,94241.1
"GERSTENKORN, CRAIG",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,467853,120082.79,94214.99
"YERRINGTON, ROBERT F",8318 JONES MALTSBERGER RD 118,SAN ANTONIO,Family Practice,201445,128965.07,94206.19
"NGUYEN, HUYEN T",12501 JUDSON RD SUITE 202,LIVE OAK,Internal Medicine,168295,126256.47,94196.05
CARDIO SCAN INC,7227 SAN PEDRO AVE STE 1 ,SAN ANTONIO,Independent Diagnostic Testing Facility,300315,120415.24,94170.94
"BIEDIGER, CHARLES P",19026 STONE OAK PKWY SUITE 110,SAN ANTONIO,Otolaryngology,425079.66,129134.26,94129.72
"GONZABA, VINCENT G",7616 CULEBRA RD SUITE 130,SAN ANTONIO,Internal Medicine,272701.46,130707.42,94037.4
"WOODBURY, CHRISTIAN",2829 BABCOCK ROAD SUITE 700,SAN ANTONIO,Hand Surgery,533579.46,122313.81,93720.45
"SCHAEFER, JASON R",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,437330,120796.35,93650.28
"DUNNE, MORGAN",311 CAMDEN ST SUITE 208,SAN ANTONIO,Diagnostic Radiology,391830.62,121187.14,93604.79
"GUILLORY, DEREK W",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,314310,129294.87,93563.9
"FRIEDLAND, JOHN T",150 E SONTERRA BLVD. SUITE 300,SAN ANTONIO,Orthopedic Surgery,473202.3,121435.42,93553.85
"GREINER, DIANE Z",6800 IH 10 W STE 350,SAN ANTONIO,Cardiology,203816.16,123026.06,93443.69
"RESTREPO, CARLOS",7703 FLOYD CURL DR MC7977,SAN ANTONIO,Diagnostic Radiology,380703,122405.09,93176.9
"LANGLOIS, MICHAEL R",4502 MEDICAL DR ,SAN ANTONIO,Podiatry,137129,118430.2,93171.41
"LIU, NADINE",11901 TOEPPERWEIN RD SUITE 1402,LIVE OAK,Family Practice,227826.14,132839.17,93140.65
SAN ANTONIO SURGERY CENTER,21 SPURS LN SUBLEVEL 100,SAN ANTONIO,Ambulatory Surgical Center,1533110.39,119417.13,93001.81
"QUITADAMO, CHRISTOPHER M",111 DALLAS ST ,SAN ANTONIO,Emergency Medicine,376867,117697.07,92898.97
"PERRY, KAREN L",12602 TOEPPERWEIN RD STE 100 ,SAN ANTONIO,Nurse Practitioner,397811,129650.04,92734.45
"PATNAIK, AMITA",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,366132.28,111924.98,92611.64
"SCHMIDT, DAVID R",21 SPURS LN STE 300,SAN ANTONIO,Orthopedic Surgery,235100,123339.98,92592.11
"RAMIREZ, JAIRO",6800 IH 10 W SUITE 200,SAN ANTONIO,Cardiology,333580.7,122291.63,92261.16
"NAGI, KUNDANDEEP S",8300 FLOYD CURL DR 6TH FLOOR - 6A,SAN ANTONIO,Ophthalmology,282659,123278.33,92138.35
"ABEDI, GELAREH",8300 FLOYD CURL DR ,SAN ANTONIO,Ophthalmology,285717,119546.45,92025.04
"HOSAKA, KUNIHIKO",10555 CULEBRA RD SUITE 103,SAN ANTONIO,Physical Therapist,285180,119229.63,91838.38
"ZHAO, JASON M",800 MCCULLOUGH AVE ,SAN ANTONIO,Ophthalmology,187201.43,125803.37,91776.52
"LOZADA, PABLO A",4360 GRECO DR ,SAN ANTONIO,Internal Medicine,356214.27,114044.71,91482.2
"WHITE, MICHAEL A",414 NAVARRO ST SUITE # 900,SAN ANTONIO,Urology,292010,115411.23,91361.81
"SANTIAGO, RAFAEL M",225 E SONTERRA BLVD SUITE 217,SAN ANTONIO,Pulmonary Disease,187071,125578.02,91328.15
"MELGAREJO, NICOLAS A",343 W. HOUSTON ST. SUITE #808,SAN ANTONIO,Infectious Disease,219181,114105.77,91253.95
"YU, STELLA V",8542 WURZBACH RD ,SAN ANTONIO,Internal Medicine,246468.33,117211.29,91239.71
"BANNAYAN, GEORGE",9901 IH 10 W SUITE 400,SAN ANTONIO,Pathology,987915,114403.23,91212.42
"KOLI, VIJAY N",102 PALO ALTO RD 300,SAN ANTONIO,Family Practice,243660,121328.04,91127.3
"HOLMES, LAFITTE J",4212 E SOUTHCROSS BLVD STE # 145,SAN ANTONIO,Certified Clinical Nurse Specialist,198688,118685.74,91125.35
"VALDEZ, DANIEL C",400 CONCORD PLAZA DR 300,SAN ANTONIO,Orthopedic Surgery,453181.92,114704.34,91119.07
"JACOBS, LAURA O",6800 IH 10 W SUITE 350,SAN ANTONIO,Cardiology,192995.34,123061.02,91110.44
"GRASER, ROBERT E",98 BRIGGS ST #925,SAN ANTONIO,Podiatry,196895,133285.83,91037.92
"TULLY, JOHN",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,353672,115154.7,90951.1
"PHAM, NHI L",111 DALLAS ST HOSPITALIST OFFICE,SAN ANTONIO,Internal Medicine,165674.83,116143.56,90878.05
"BANUELOS, POLO A",11212 STATE HIGHWAY 151 SUITE 340,SAN ANTONIO,Neurology,237575.68,119590.18,90876.05
"PENSHORN, DUANE A",8401 DATAPOINT DR STE 500 ,SAN ANTONIO,Emergency Medicine,523551,116543.89,90837.15
"ROSENBLOOM, JEFFERY S",19026 STONE OAK PKWY #110,SAN ANTONIO,Otolaryngology,416591.69,125742.89,90818.07
"BUZENAS, JESSICA",1310 MCCULLOUGH AVE ,SAN ANTONIO,Internal Medicine,339988.98,112666.84,90566.22
"PRATT, MARY L",6391 DEZAVALA RD SUITE 100,SAN ANTONIO,Physical Therapist,160599,115819.85,90355.01
"RODRIGUEZ, JAVIER F",311 CAMDEN ST SUITE # 509,SAN ANTONIO,Internal Medicine,222611.98,116787.68,90349.06
"GALINDO, MAYO J",400 CONCORD PLAZA DR 300,SAN ANTONIO,Orthopedic Surgery,417312.22,124631.59,90238.01
"WIRTH, MICHAEL A",8300 FLOYD CURL DR MC7977,SAN ANTONIO,Orthopedic Surgery,340393,117833.95,90134.13
"JONES, RELIEF",12227 HUEBNER RD SUITE 110,SAN ANTONIO,Ophthalmology,263236.45,121448.92,90051.94
"PAPARELLI, VICTORIA A",4330 MEDICAL DRIVE SUITE 400,SAN ANTONIO,Nurse Practitioner,419277.17,120316.71,90036.51
"JARDELEZA, MARIA STEPHANIE R",701 S ZARZAMORA ST ,SAN ANTONIO,Ophthalmology,299137,114288.63,89449.37
"LAVROVSKAYA, ELENA",12315 JUDSON RD SUITE 114,LIVE OAK,Pathology,549423,113043.86,89405.61
"CURA, MARCO",4502 MEDICAL DR ,SAN ANTONIO,Diagnostic Radiology,523470,112244.21,89400.96
"SANTOS, CLAUDIA Y",8811 VILLAGE DR. ,SAN ANTONIO,Internal Medicine,162152.94,113401.92,89311.43
"BOWSER, CHAD R",3851 ROGER BROOKE DR ,SAN ANTONIO,Emergency Medicine,620315,114672.29,89299.95
"STOTHOFF, ALICE F",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,470756,117957.77,89240.38
"LUNA, JOSEPH R",8038 WURZBACH RD SUITE 120,SAN ANTONIO,Family Practice,196169.8,122082.19,89161.18
"FREEMYER, VINCENT C",111 DALLAS ST ATTN: EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,398399,120979.13,89096.11
"ANDERSON, DOUGLAS",4502 MEDICAL DR ,SAN ANTONIO,Anesthesiology,275137,111776.99,88868.24
"DANG, TRI D",5730 SILENT FOREST DR ,SAN ANTONIO,Internal Medicine,907890,118730.98,88863.55
"MENENDEZ, CARLOS E",4499 MEDICAL DR STE 226 ,SAN ANTONIO,Endocrinology,126214.5,123949.08,88826.83
"PORET, LETICIA A",4522 FREDERICKSBURG RD STE A14 ,SAN ANTONIO,Internal Medicine,173564,125433.15,88713.02
"WILSON, LYNN M",8401 DATAPOINT DR. SUITE 500,SAN ANTONIO,Emergency Medicine,346911,111632.03,88581.08
"PALACIOS, RAUL G",402 TEXAS PT ,SAN ANTONIO,Interventional Radiology,340526,112830.51,88366.01
"ALLEN AMBULANCE SERVICE, INC.",10415 PERRIN BEITEL RD SUITE 102,SAN ANTONIO,Ambulance Service Supplier,301420.6,112821.07,88310.55
"ODULAJA, KOLAWOLE A",510 MED CT SUITE 107,SAN ANTONIO,Internal Medicine,681708,115245.04,88071.41
"ADDIS, KIMBERLY A",8902 FLOYD CURL DR LIFECARE HOSPITAL - RADIOLOGY DEPARTMENT,SAN ANTONIO,Diagnostic Radiology,456851,112990.81,87914.46
"FRECKLETON, MICHAEL",7909 FREDERICKSBURG RD SUITE #127,SAN ANTONIO,Diagnostic Radiology,299838,112663.32,87875.68
"QUINTANILLA, ELEAZAR",3333 RESEARCH PLZ ,SAN ANTONIO,Internal Medicine,209545.38,111921.37,87783.99
OSCAR DE LOS SANTOS,900 NE LOOP 410 ,SAN ANTONIO,Ambulance Service Supplier,417722,109629.63,87702.29
"KOLLARS, JOSHUA P",4242 MEDICAL DR SUITE 3100,SAN ANTONIO,Anesthesiology,586206,105209.03,87698.13
"ROWLING, JASON C",4502 MEDICAL DR ,SAN ANTONIO,Anesthesiology,667650,116306.62,87596.78
"HNATOW, DAVID",4502 MEDICAL DR ,SAN ANTONIO,Emergency Medicine,450188,113299.01,87333.09
"BARTOS, DAVID B",7330 SAN PEDRO STE 405 ,SAN ANTONIO,Emergency Medicine,636975,114936.05,87270.73
"TROYER, CHRISTOPHER J",400 CONCORD PLAZA DR 300,SAN ANTONIO,Physical Therapist,569499.11,118690.06,87192.17
"ZEBALLOS, CLAUDIO F",4502 MEDICAL DR ,SAN ANTONIO,Emergency Medicine,450734,115973.53,87141.19
"SHIPMAN, BRADLEY N",5307 BROADWAY ST SUITE 200,SAN ANTONIO,Internal Medicine,286919.71,115581.41,86811.37
"MAYORAL, JAIME L",1200 BROOKLYN AVE. STE 150,SAN ANTONIO,Colorectal Surgery (formerly proctology),183848.82,109698.27,86483.12
"ALVES, PATRICE",8401 DATAPOINT DR ,SAN ANTONIO,Internal Medicine,199829,113357.78,86401.12
"CHEN, PING-SUN K",333 N SANTA ROSA ST DEPT OF RADIOLOGY,SAN ANTONIO,Diagnostic Radiology,464526,113056.83,86290.52
"ZARATE, JOCELYN V",414 NAVARRO ST SUITE 1422,SAN ANTONIO,Internal Medicine,137244.94,123307.65,86242.28
"HUOTT, MICHAEL A",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,444941,113659.62,86226.71
"KEIGER, RICHARD L",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,476259,111353.99,86225.07
"CZELUSTA, LAWRENCE A",8601 VILLAGE DR STE 104 ,SAN ANTONIO,Podiatry,131837,118063.12,86144.63
"GUERRA, FELIX",1420 SCHERTZ PKWY STE 100 ,SCHERTZ,Physical Therapist,195925,111922.03,86111.11
"BELASCO, MARVIN S",1303 MCCULLOUGH AVE 125,SAN ANTONIO,Diagnostic Radiology,232207,106966.73,86055.08
FRONTIER TOXICOLOGY LTD,1047 E NAKOMA ST ,SAN ANTONIO,Clinical Laboratory,325269.34,87529.64,85998.84
"JOSHI, AJEYA P",18626 HARDY OAK BLVD 300,SAN ANTONIO,Orthopedic Surgery,489486,114400.72,85996.68
"LIU, YICHING A",111 DALLAS ST MEDFIRST HOSPITALISTS,SAN ANTONIO,Internal Medicine,157550.25,110084.79,85963.61
"VIDAL, JOSE F",8026 FLOYD CURL ,SAN ANTONIO,Psychiatry,292803,112169.28,85942.2
"VALLES, NORMA M",14100 NACOGDOCHES RD STE 116,SAN ANTONIO,Internal Medicine,224943,107469.17,85779.96
"DUNLAP, JOEL A",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,433397,107991.15,85709.52
"PATTERSON, JERRY W",423 TREELINE PARK STE 315,SAN ANTONIO,Podiatry,284632,116735.23,85603.01
"KLEIN, ADI",8811 VILLAGE DRIVE ,SAN ANTONIO,Internal Medicine,156982.25,109831.03,85548.76
"RAZA, SYED N",215 E QUINCY ST STE 314 ,SAN ANTONIO,Medical Oncology,230355,110438.03,85467.17
"SCOTT, JOHN R",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,446502,112672.58,85207.35
"CLINTON, CHELSEA I",18585 SIGMA RD STE 102 ,SAN ANTONIO,Rheumatology,218420,113666.96,85134.01
"WALLACE, JENNIFER L",1303 MCCULLOUGH AVE SUITE 560,SAN ANTONIO,Internal Medicine,307922,118471.91,85105.53
"GARZA, JUAN C",4315 MOONLIGHT WAY SUITE 102,SAN ANTONIO,Family Practice,165493,122502.4,85095.02
"NATHAN, MARSHALL D",7950 FLOYD CURL DR STE 1002,SAN ANTONIO,Otolaryngology,272165,117575.41,84892.95
"MKHANTAR, CHRISTINA M",1303 MCCULLOUGH AVE SUITE 441,SAN ANTONIO,Nurse Practitioner,239788,106088.47,84656.54
"ROETH, CHARLES L",6800 W IH 10 SUITE 350,SAN ANTONIO,Cardiology,370343,119188.6,84606.37
"CARSWELL, AIMEE P",4502 MEDICAL DR DEPARTMENT OF RADIOLOGY,SAN ANTONIO,Diagnostic Radiology,389119,110427.2,84525.45
"SMITH, KIRSTEN L",4499 MEDICAL DR SUBLEVEL 2,SAN ANTONIO,General Surgery,264829,109515.91,84336.6
"MAHAJAN, ASHUTOSH K",8811 VILLAGE DR MEDFIRST HOSPITALIST,SAN ANTONIO,Internal Medicine,153839.87,105986.53,84245.13
"CURTIS, RALPH J",21 SPURS LN STE 300,SAN ANTONIO,Orthopedic Surgery,221530,113339.46,84196.29
"PORTILLO, ARTURO",5804 BABCOCK RD # 213 ,SAN ANTONIO,Emergency Medicine,452633,108616.63,84139.49
"CUEVAS, RITA E",215 E QUINCY ST SUITE 417,SAN ANTONIO,Internal Medicine,148270,114347.87,84031.21
"VAUGHN, MICHAEL P",115 GALLERY CIR STE 200,SAN ANTONIO,Allergy/Immunology,180158,112479.67,84022.81
"CHRISTIE, KEITH A",7272 WURZBACH RD SUTIE 204,SAN ANTONIO,Clinical Psychologist,227675,143029.65,84005.41
"CHOPRA, LIZA P",111 DALLAS ST ATTN: EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,338343,105930.36,84001.91
"MCCARROLL, GREGORY D",5430 FREDERICKSBURG ROAD SUITE 400,SAN ANTONIO,Internal Medicine,167526.14,115884.62,83952.82
"RICHARDSON, KELLY G",314 CALUMET PL ,SAN ANTONIO,Nurse Practitioner,298406,104806.71,83709.13
"SCRIBBICK, ARIE",8401 DATAPOINT DR. SUITE 500,SAN ANTONIO,Emergency Medicine,463308,108406.01,83507.11
"PADUA, FEDERICO P",1630 SW MILITARY DR ,SAN ANTONIO,Family Practice,131170,115497.9,83493.85
"FRANCOIS, DENISE W",9901 IH 10 W SUITE 400,SAN ANTONIO,Pathology,217429,104938.86,83245.99
"LOPEZ, MANUEL A",4775 HAMILTON WOLFE RD BLDG 1,SAN ANTONIO,Otolaryngology,387150,104680.11,83096.54
"QUINONES, MANUEL M",6428 BANDERA RD ,SAN ANTONIO,Family Practice,233575.65,108114.41,82653.16
"FOSSLER, SHERI D",8300 FLOYD CURL DR # 3A ,SAN ANTONIO,Physical Therapist,187523.42,105720.99,82610.27
"AIR MEDICAL , LLC",402 E RAMSEY RD ,SAN ANTONIO,Ambulance Service Supplier,502412.85,103161.11,82375.99
"ABBATE, STEVEN M",8038 WURZBACH RD SUITE 210,SAN ANTONIO,General Surgery,339720.08,106849.53,82371.45
"MALLOTT, WILLIAM",8811 VILLAGE DRIVE ,SAN ANTONIO,Internal Medicine,150310.53,104753.98,82301.94
"AYOUB, HANAN H",12412 JUDSON RD ,LIVE OAK,Pathology,485515,104155.84,82277.94
"BERKOWITZ, CARL M",8042 WURZBACH RD SUITE 280,SAN ANTONIO,Infectious Disease,186005,104572.83,82199.44
"JOHNSON, DANIEL",4502 MEDICAL DR FL 2 ,SAN ANTONIO,Ophthalmology,216600,114069.99,82194.75
"MCDANIEL, JOSEPH L",111 DALLAS STREET EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,331065,104069.76,82144.68
"HILARIO, JOSE F",14855 BLANCO RD SUITE 212,SAN ANTONIO,Podiatry,209755,114137.43,82104.54
"WOLFE, GILBERT W",13633 BLUFFCIRCLE ,SAN ANTONIO,CRNA,522250,105403.57,81417.8
"DICE, YUHOE G",4411 MEDICAL DR ,SAN ANTONIO,Hematology/Oncology,210319.08,112710.81,81394.61
"SAUNDERS, JOHN F",7711 LOUIS PASTEUR STE 603,SAN ANTONIO,Ophthalmology,229628.88,136331.01,81366.08
"BEINE, MELBA J",624 W SUNSET RD ,SAN ANTONIO,Internal Medicine,227712.19,112994.71,81355.38
"FREIBERG, JOSEPH M",4499 MEDICAL DRIVE SUITE 240 METHODIST PLAZA BUILDING,SAN ANTONIO,Internal Medicine,147468,109950.77,80928.28
"AYALA, MIGUEL A",4203 E SOUTHCROSS BLVD ,SAN ANTONIO,Internal Medicine,162035,108976.04,80919.62
"SCHUSTER, RANDALL H",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,403353,105115.52,80610.12
"CULLINAN, PATRICK",8401 DATAPOINT DR STE 865,SAN ANTONIO,Emergency Medicine,294013,101041.45,80557.05
"HAVERKORN, RASHEL M",11212 HIGHWAY 151 SUITE # 180,SAN ANTONIO,Urology,238501,103421.76,80502.06
"FESSENDEN, LAURIE J",17460 IH35 SUITE 420,SCHERTZ,Nurse Practitioner,156203,102030.18,80413.37
"BROTHERS, TERESITA M",8109 FREDERICKSBURG RD ,SAN ANTONIO,Psychiatry,153210,100784.64,80368.04
"LEE, WAYNE A",540 MADISON OAK DR #690,SAN ANTONIO,Orthopedic Surgery,159545,102188.62,80365.23
"NASREEN, JOHRA",8811 VILLAGE DRIVE ,SAN ANTONIO,Internal Medicine,146112.51,102197.18,80317.57
"CERVANTES, FRANCISCO D",9355 BANDERA RD STE 136,SAN ANTONIO,Family Practice,248563.29,116444.44,80237.83
"MACHETTA, JAMES A",11122 WURZBACH RD STE 302,SAN ANTONIO,CRNA,524030,103195.75,80196.29
"PATEL, AATISH Y",4502 MEDICAL DR ,SAN ANTONIO,Internal Medicine,147907.26,103788.1,80123.36
"CORNETT, JOSEPH E",111 DALLAS ST ATTN: ER,SAN ANTONIO,Emergency Medicine,322073,101077.33,79999.71
"MOSS, JESSE",12602 TOEPPERWEIN RD SUITE 211,LIVE OAK,Otolaryngology,176979,110579.81,79873.79
"BUTTER, ROBERT D",11212 STATE HIGHWAY 151 PLAZA 2 SUITE 300,SAN ANTONIO,Emergency Medicine,268226,100976.95,79866
"STYSKAL, KENDALL W",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,404036,103584.53,79781.76
"CHALFIN, STEVEN",4502 MEDICAL DR FL 2 ,SAN ANTONIO,Ophthalmology,246155,109037.19,79741.67
"LOPEZ, SALVADOR",5701 BROADWAY ST SUITE 110,SAN ANTONIO,Clinical Psychologist,153675,101136.7,79364.62
"MARX, RANDALL C",2829 BABCOCK RD STE 700 ,SAN ANTONIO,Orthopedic Surgery,445646.34,106139.04,79316.17
"HERNANDEZ, RICARDO A",1804 NE LOOP 410 #101,SAN ANTONIO,Internal Medicine,283387.38,104124.67,79207.94
"KUMARA, HALEKOTE N",102 PALO ALTO RD SUITE 133,SAN ANTONIO,Physical Medicine and Rehabilitation,193874,100220.69,79171.69
"LEE, NANCY A",1303 MCCULLOUGH AVE SUITE 374,SAN ANTONIO,Endocrinology,169400,109100.4,79083.22
"VENUTO, SUSAN J",3603 PAESANOS PKWY SUITE 100,SAN ANTONIO,CRNA,510700,100471.07,79071.13
"GEAR, CHRISTINE L",343 W HOUSTON ST STE 609 ,SAN ANTONIO,Nephrology,182085,98724.84,78969.85
"BASS, ANN D",1314 E SONTERRA BLVD SUITE 610,SAN ANTONIO,Neurology,258140.7,115142.91,78879.84
"BHOGTE, MARC S",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,306515,99888.31,78846
"RODRIGUEZ, RAFAEL M",540 MADISON OAK DR SUITE 690,SAN ANTONIO,Pulmonary Disease,173317,99244.01,78819.28
"RODRIGUEZ, MANUEL J",9969 FREDERICKSBURG RD ,SAN ANTONIO,Internal Medicine,147360,112022.27,78715.95
"VAN DELDEN, PETER R",8 HORNS CROSS ,SAN ANTONIO,Internal Medicine,820682,103375.29,78698.14
"TENORIO, RUBEN L",432 CASTROVILLE RD ,SAN ANTONIO,Internal Medicine,157547.05,109825.71,78575.97
"PALOMINO, GEORGE",4411 MEDICAL DR SUITE 300,SAN ANTONIO,Cardiology,264492,100580.92,78512.66
"GARCIA, JAIME S",7330 SAN PEDRO AVE STE. 405,SAN ANTONIO,Internal Medicine,234870.58,99662.31,78509.69
"WELLS, LINDA F",21 SPURS LN STE 340,SAN ANTONIO,Physical Therapist,349387,102046.46,78449.97
"STRASH, WALTER W",7424 BROADWAY ST ,SAN ANTONIO,Podiatry,186697.2,108790.9,78444.9
"NOBLES, ROBERT G",5979 BABCOCK ,SAN ANTONIO,Internal Medicine,160280,115123.74,78281.48
"DIPPEL, LENNIS K",111 DALLAS ST ATTN: EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,313072,99096.12,78087.52
"GRUNSPAN, AVIE A",4114 POND HILL ROAD SUITE 101,SAN ANTONIO,Internal Medicine,350164,105417.41,77823.73
"LABAHN, JACOB","333 N SANTA ROSA AVE CENTER FOR CHILDREN & FAMILIES, 4TH FLOOR, CLINIC A",SAN ANTONIO,Emergency Medicine,135201.45,111750.69,77807.1
ONIRO LLC,1550 NE LOOP 410 STE 204,SAN ANTONIO,Independent Diagnostic Testing Facility,426400,99072.46,77645.69
"CONTRERAS URBY, DOLORES",2406 COMMERCIAL AVE SUITE E,SAN ANTONIO,Physical Medicine and Rehabilitation,231880,97204.77,77595.15
"BRISENO, CHARLES G",SUITE 703 414 NAVARRO ,SAN ANTONIO,Internal Medicine,190705,103543.54,77518.19
"GONZALEZ-SANCHEZ, EDULFO",343 W HOUSTON ST STE 807,SAN ANTONIO,Psychiatry,200881,110904.84,77464.65
"BABCOCK SURGICAL CENTER, LLC",2425 BABCOCK RD SUITE #106,SAN ANTONIO,Ambulatory Surgical Center,1167899,96675.8,77340.14
"HAUSENFLUKE, LINDA G",12315 JUDSON RD ,LIVE OAK,Pathology,416065,96722.39,77273.88
"WHITE, MARY E",616 W RUSSELL PL ,SAN ANTONIO,Clinical Psychologist,178690,127765.16,77236.38
"HURA, CLAUDIA E",701 S ZARZAMORA ST ,SAN ANTONIO,Nephrology,285846,97008.33,77100.63
"VALDEZ, ALICIA V",98 BRIGGS ST SUITE 800,SAN ANTONIO,Family Practice,432622.27,103256.28,77069.09
"STUCKEY, JOHN H",9901 IH 10 W SUITE 400,SAN ANTONIO,Pathology,756810,96478.44,76929.45
"RAMIREZ, ROBERT R",720 PLEASANTON RD ,SAN ANTONIO,Internal Medicine,204262.89,102500.78,76913.74
"BOYD, GEORGE B",7838 BARLITE BLVD ,SAN ANTONIO,Cardiology,192900.5,98245.77,76733.41
"RODRIGUEZ, FRANCISCO J",311 CAMDEN ST SUITE 211,SAN ANTONIO,Psychiatry,120825,114208.98,76678.14
"TURKOWSKI, WALTER J",422 CAMERON CIR DIRECTOR OF EMERGENCY MEDICINE #417,SAN ANTONIO,Emergency Medicine,560316,99179.37,76632.45
"KINCADE, MONICA L",4330 MEDICAL DR STE 120,SAN ANTONIO,Certified Clinical Nurse Specialist,305158,98071.38,76404.22
"MERIN, ALAN J",1211 E COMMERCE ST ,SAN ANTONIO,Nephrology,138110,97838.74,76173.25
"NAIDU, SHARMILA",414 NAVARRO ST 1405,SAN ANTONIO,Internal Medicine,170628,96700.96,76159.18
"THOMAS, JOHN W",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,354554,95715.07,76077.48
"SMITH, JOHN F",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,308058,96000.54,76058.77
"CALZADA, PEDRO A",2235 THOUSAND OAKS DR SUITE 117,SAN ANTONIO,Family Practice,177634.5,109346.01,75949.86
"NAEEM, LUBNA",19272 STONE OAK PKWY SUITE 105,SAN ANTONIO,Internal Medicine,139724.07,104635.62,75700.58
"OGDEN, MARK T",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,296878,95842.7,75501.48
"ESPINO, DAVID",414 NAVARRO ST FL 11 ,SAN ANTONIO,Family Practice,213407,104632.85,75451.7
"SCARPINO, STEVEN",311 CAMDEN ST SUITE 208,SAN ANTONIO,Diagnostic Radiology,276823.28,89853.64,75314.81
"DENHAM, DOUGLAS S",7400 CRESTWAY ,SAN ANTONIO,Family Practice,185413,103590.24,75194.03
"ALDRIDGE, MILISSA S",333 N SANTA ROSA ST RADIOLOGY DEPARTMENT,SAN ANTONIO,Diagnostic Radiology,379018,95175.96,75092.79
"WILLIS, ROGER",8026 FLOYD CURL ,SAN ANTONIO,Emergency Medicine,750838,98533.94,75012.44
